url,title,holding,date,docket,judge,citation,
https://www.supremecourt.gov/opinions/22pdf/600us1r58_7khn.pdf,303 Creative LLC v. Elenis,,6/30/23,21-476,NG,600 U.S. 570,
https://www.supremecourt.gov/opinions/22pdf/600us1r57_o7kq.pdf,Department of Education v. Brown,,6/30/23,22-535,A,600 U.S. 551,
https://www.supremecourt.gov/opinions/22pdf/600us1r56_1o13.pdf,Biden v. Nebraska,,6/30/23,22-506,R,600 U.S. 477,
https://www.supremecourt.gov/opinions/22pdf/600us1r55_3dq4.pdf,Groff v. DeJoy,,6/29/23,22-174,A,600 U.S. 447,
https://www.supremecourt.gov/opinions/22pdf/600us1r54_g3bi.pdf,"Abitron Austria GmbH v. Hetronic Int’l, Inc.",,6/29/23,21-1043,A,600 U.S. 412,
https://www.supremecourt.gov/opinions/22pdf/600us1r53_4g15.pdf,"Students for Fair Admissions, Inc. v. President and Fellows of Harvard College",,6/29/23,20-1199,R,600 U.S. 181,
https://www.supremecourt.gov/opinions/22pdf/600us1r52_p86b.pdf,Mallory v. Norfolk Southern R. Co,,6/27/23,21-1168,NG,600 U.S. 122,
https://www.supremecourt.gov/opinions/22pdf/600us1r51_g3bi.pdf,Counterman v. Colorado,,6/27/23,22-138,EK,600 U.S. 66,
https://www.supremecourt.gov/opinions/22pdf/600us1r50_h3ci.pdf,Moore v. Harper,,6/27/23,21-1271,R,600 U.S. 1,
https://www.supremecourt.gov/opinions/22pdf/599us1r49_jgkn.pdf,United States v. Hansen,,6/23/23,22-179,AB,599 U.S. 762,
https://www.supremecourt.gov/opinions/22pdf/599us1r48_986b.pdf,"Coinbase, Inc. v. Bielski",,6/23/23,22-105,BK,599 U.S. 736,
https://www.supremecourt.gov/opinions/22pdf/599us1r47_8m58.pdf,United States v. Texas,,6/23/23,22-58,BK,599 U.S. 670,
https://www.supremecourt.gov/opinions/22pdf/599us1r46_dc8f.pdf,Samia v. United States,,6/23/23,22-196,T,599 U.S. 635,
https://www.supremecourt.gov/opinions/22pdf/599us1r45_6khn.pdf,Pugin v. Garland,,6/22/23,22-23,BK,599 U.S. 600,
https://www.supremecourt.gov/opinions/22pdf/599us1r44_54l8.pdf,Arizona v. Navajo Nation,,6/22/23,21-1484,BK,599 U.S. 555,
https://www.supremecourt.gov/opinions/22pdf/599us1r43_jhek.pdf,Yegiazaryan v. Smagin,,6/22/23,22-381,SS,599 U.S. 533,
https://www.supremecourt.gov/opinions/22pdf/599us1r42_3314.pdf,Jones v. Hendrix,,6/22/23,21-857,T,599 U.S. 465,
https://www.supremecourt.gov/opinions/22pdf/599us1r41_2bo2.pdf,Lora v. United States,,6/16/23,22-49,KJ,599 U.S. 453,
https://www.supremecourt.gov/opinions/22pdf/599us1r40_q8l1.pdf,"United States ex rel. Polansky v. Executive Health Resources, Inc.",,6/16/23,21-1052,EK,599 U.S. 419,
https://www.supremecourt.gov/opinions/22pdf/599us1r39_3204.pdf,Lac du Flambeau Band of Lake Superior Chippewa Indians v. Coughlin,,6/15/23,22-227,KJ,599 U.S. 382,
https://www.supremecourt.gov/opinions/22pdf/599us1r38_i42k.pdf,Haaland v. Brackeen,,6/15/23,21-376,AB,599 U.S. 255,
https://www.supremecourt.gov/opinions/22pdf/599us1r37_8m59.pdf,Smith v. United States,,6/15/23,21-1576,A,599 U.S. 236,
https://www.supremecourt.gov/opinions/22pdf/599us1r36_k536.pdf,Health and Hospital Corporation of Marion Cty. v. Talevski,,6/08/23,21-806,KJ,599 U.S. 166,
https://www.supremecourt.gov/opinions/22pdf/599us1r35_7m58.pdf,"Jack Daniel’s Properties, Inc. v. VIP Products LLC",,6/08/23,22-148,EK,599 U.S. 140,
https://www.supremecourt.gov/opinions/22pdf/599us1r34_p86b.pdf,Dubin v. United States,,6/08/23,22-10,SS,599 U.S. 110,
https://www.supremecourt.gov/opinions/22pdf/599us1r33_08m1.pdf,Allen v. Milligan,,6/08/23,21-1086,R,599 U.S. 1,
https://www.supremecourt.gov/opinions/22pdf/598us2r32_ca7d.pdf,"Glacier Northwest, Inc. v. Teamsters",,6/01/23,21-1449,AB,598 U.S. 771,
https://www.supremecourt.gov/opinions/22pdf/598us2r31_5h26.pdf,"Slack Technologies, LLC v. Pirani",,6/01/23,22-200,NG,598 U.S. 759,
https://www.supremecourt.gov/opinions/22pdf/598us2r30_g2bh.pdf,United States ex rel. Schutte v. Supervalu Inc.,,6/01/23,21-1326,T,598 U.S. 739,
https://www.supremecourt.gov/opinions/22pdf/598us2r29_k5fm.pdf,Dupree v. Younger,,5/25/23,22-210,AB,598 U.S. 729,
https://www.supremecourt.gov/opinions/22pdf/598us2r28_5h26.pdf,Sackett v. EPA,,5/25/23,21-454,A,598 U.S. 651,
https://www.supremecourt.gov/opinions/22pdf/598us2r27_aplc.pdf,Tyler v. Hennepin County,,5/25/23,22-166,R,598 U.S. 631,
https://www.supremecourt.gov/opinions/22pdf/598us2r26_feag.pdf,Calcutt v. FDIC,,5/22/23,22-714,PC,598 U.S. 623,
https://www.supremecourt.gov/opinions/22pdf/598us2r25_i32j.pdf,Gonzalez v. Google LLC,,5/18/23,21-1333,PC,598 U.S. 617,
https://www.supremecourt.gov/opinions/22pdf/598us2r24_m6hn.pdf,Amgen Inc. v. Sanofi,,5/18/23,21-757,NG,598 U.S. 594,
https://www.supremecourt.gov/opinions/22pdf/598us2r23_6k47.pdf,"Andy Warhol Foundation for Visual Arts, Inc. v. Goldsmith",,5/18/23,21-869,SS,598 U.S. 508,
https://www.supremecourt.gov/opinions/22pdf/598us2r22_hejm.pdf,"Twitter, Inc. v. Taamneh",,5/18/23,21-1496,T,598 U.S. 471,
https://www.supremecourt.gov/opinions/22pdf/598us2r21_5425.pdf,Ohio Adjutant General’s Dept. v. FLRA,,5/18/23,21-1454,T,598 U.S. 449,
https://www.supremecourt.gov/opinions/22pdf/598us2r20_b07d.pdf,Polselli v. IRS,,5/18/23,21-1599,R,598 U.S. 432,
https://www.supremecourt.gov/opinions/22pdf/598us2r19_dc8f.pdf,Santos-Zacaria v. Garland,,5/11/23,21-1436,KJ,598 U.S. 411,
https://www.supremecourt.gov/opinions/22pdf/598us2r18_g2bh.pdf,National Pork Producers Council v. Ross,,5/11/23,21-468,NG,598 U.S. 356,
https://www.supremecourt.gov/opinions/22pdf/598us2r17_c0nd.pdf,"Financial Oversight and Management Bd. for P. R. v. Centro De Periodismo Investigativo, Inc.",,5/11/23,22-96,EK,598 U.S. 339,
https://www.supremecourt.gov/opinions/22pdf/598us2r16_4gdj.pdf,Percoco v. United States,,5/11/23,21-1158,A,598 U.S. 319,
https://www.supremecourt.gov/opinions/22pdf/598us2r15_d1o2.pdf,Ciminelli v. United States,,5/11/23,21-1170,T,598 U.S. 306,
https://www.supremecourt.gov/opinions/22pdf/598us1r14_3e04.pdf,MOAC Mall Holdings LLC v. Transform Holdco LLC,,4/19/23,21-1270,KJ,598 U.S. 288,
https://www.supremecourt.gov/opinions/22pdf/598us1r13_3e04.pdf,Turkiye Halk Bankasi A.S. v. United States,,4/19/23,21-1450,BK,598 U.S. 264,
https://www.supremecourt.gov/opinions/22pdf/598us1r12_l5gm.pdf,Reed v. Goertz,,4/19/23,21-442,BK,598 U.S. 230,
https://www.supremecourt.gov/opinions/22pdf/598us1r11_ca7d.pdf,New York v. New Jersey,,4/18/23,"156, Orig.",BK,598 U.S. 218,
https://www.supremecourt.gov/opinions/22pdf/598us1r10_febh.pdf,"Axon Enterprise, Inc. v. FTC",,4/14/23,21-86,EK,598 U.S. 175,
https://www.supremecourt.gov/opinions/22pdf/598us1r9_8mjp.pdf,Wilkins v. United States,,3/28/23,21-1164,SS,598 U.S. 152,
https://www.supremecourt.gov/opinions/22pdf/598us1r8_limq.pdf,Luna Perez v. Sturgis Public Schools,,3/21/23,21-887,NG,598 U.S. 142,
